"43.16"	"2"
"43.77"	"79"
"44.68"	"9"
"45.07"	"99"
"45.36"	"57"
"45.91"	"45"
"45.96"	"7"
"46.04"	"46"
"46.22"	"47"
"46.42"	"29"
"46.64"	"74"
"46.72"	"4"
"47.06"	"36"
"47.11"	"27"
"47.36"	"70"
"47.47"	"22"
"47.48"	"18"
"47.75"	"23"
"47.83"	"51"
"47.93"	"43"
"47.94"	"13"
"47.97"	"94"
"48.02"	"80"
"48.04"	"16"
"48.07"	"85"
"48.14"	"62"
"48.22"	"60"
"48.41"	"95"
"48.45"	"49"
"48.46"	"90"
"48.49"	"0"
"48.50"	"50"
"48.60"	"59"
"48.64"	"89"
"48.73"	"73"
"48.78"	"41"
"48.81"	"21"
"48.88"	"12"
"48.89"	"56"
"48.93"	"98"
"49.10"	"92"
"49.16"	"15"
"49.18"	"77"
"49.24"	"53"
"49.28"	"63"
"49.41"	"26"
"49.56"	"17"
"49.61"	"82"
"49.77"	"75"
"49.86"	"14"
"49.92"	"39"
"49.93"	"66"
"49.99"	"67"
"50.00"	"44"
"50.19"	"83"
"50.45"	"86"
"50.53"	"25"
"50.59"	"55"
"50.70"	"20"
"50.80"	"11"
"50.89"	"38"
"50.93"	"61"
"50.93"	"69"
"50.96"	"34"
"50.97"	"72"
"51.15"	"58"
"51.22"	"48"
"51.27"	"6"
"51.29"	"84"
"51.34"	"68"
"51.36"	"32"
"51.37"	"30"
"51.38"	"37"
"51.40"	"87"
"51.43"	"3"
"51.50"	"8"
"51.80"	"1"
"51.96"	"78"
"52.07"	"64"
"52.34"	"65"
"52.63"	"5"
"52.70"	"24"
"52.71"	"91"
"52.86"	"10"
"53.03"	"52"
"53.10"	"35"
"53.13"	"33"
"53.30"	"96"
"53.80"	"88"
"53.81"	"19"
"53.93"	"40"
"54.02"	"31"
"54.04"	"54"
"54.10"	"71"
"54.12"	"97"
"54.13"	"42"
"54.32"	"28"
"54.71"	"76"
"55.08"	"81"
"56.46"	"93"
